Sort,Common Name,Scientific Name,Group,order,family,taxonomic notes,Canada,USA,Mexico,C America,Mig Status,Introduced,Nonbreeding only,PS-g,PS-g_s,PS-g_com,Global Pop Size, Global Pop Size# , Pop Size_US-Ca , Pop Size_US-Ca# ,PopYr,Pop Size_US-Ca_s,Pop Size_US-Ca_com,BD-g, BD area ,BD-g_s,BD-g_com,ND-g, ND area ,ND-g_s,ND-g_com,TB-c,TB-c_s,TB-c_com,CV-b,CV-b certainty,TN-c,TN-c_s,TN-c_com,CV-w,CV-w certainty,PT-c,PT-c_s,PT-c_com,LT % change,LT trend (%/yr),LT trend 90% lcl,LT trend 90% ucl,LT sig,ST % change,ST trend (%/yr),ST trend 90% lcl,ST trend 90% ucl,ST sig,ST yrs,core/extended BBS,LT CI width,N,RA,NxRA,Half-Life,CCS-b,CCS-n,CCS-max,Continental Importance,IUCN Red List 2023,Urban,Agriculture,Breeding Biome,Nonbreeding Biome,Primary Breeding Habitat,Secondary Breeding Habitat,Primary Nonbreeding Habitat,Secondary Nonbreeding Habitat
780,King Vulture,Sarcoramphus papa,landbird,Cathartiformes,Cathartidae,Monotypic.,0,0,1,1,R,,,4,PIF CAW 2016,Rango amplio. Densidad baja. (CAW); score change from 5 to 4 recommended by Central Americans in 2016,,,,,,,,1,"13,662,423",Natureserve 3.0,,1,"13,662,423",Natureserve 3.0,,4,MX-NSAC,,,,4,MX-NSAC,requires large areas of primary forest; habitat loss,,,5,PIF CAW 2014,,,,,,,,,,,,,,,,,,,14,14,14,Yellow Watch List; Tipping Point,,,,Neotropical,Neotropical,Forests:  Tropical Lowland Evergreen,,Forests:  Tropical Lowland Evergreen,
781,Black Vulture,Coragyps atratus,landbird,Cathartiformes,Cathartidae,,0,1,1,1,R,,,1,Zimmerman et al. 2019; bbs update to 2018;  eBird7017,Zimmerman used the methodology in Zimmerman et al. 2019 for the entire U.S. using BBS-2018.  This new U.S. estimate was extrapolated globally using eBird's % of global Black Vulture observations that are in U.S.,"190,000,000","190,000,000","9,600,000","9,600,000",,Zimmerman et al. 2019; bbs update to 2018,Zimmerman used the methodology in Zimmerman et al. 2019 for the entire U.S. using BBS-2018.,1,"20,974,656",Natureserve 3.0,,1,"20,974,656",Natureserve 3.0,,2,PIFTC-02; PIFSC-CVS 2022,"DD = 'benefit from human acitivity.'  Mostly in SA and CA where sanitation issues create favorable situation, but farming in US creates much carrion and non-natural nest sites provide suitable alternatives to large cavities.  Southern pops probably outnum.",2,H,2,PIFTC-02; PIFSC-CVS 2022,"DD = 'benefit from human activity.'  Mostly in SA and CA where sanitation issues create favorable situation, but farming in US creates much carrion.  Southern pops probably outnumber US ones.",2,H,1,"BBS7021-AS,JS",,682.29,4.12,3.26,4.83,1,642.38,4.77,4.01,5.4,1,43,core,1.57,1113.5,1.93,2156.18,,5,5,5,,,yes,w,Widespread,Widespread,Open Country:  Habitat Mosaic,Open Country:  Developed/Disturbed,Open Country:  Habitat Mosaic,Open Country:  Developed/Disturbed
782,Turkey Vulture,Cathartes aura,landbird,Cathartiformes,Cathartidae,,1,1,1,1,M,,,2,"PIFcalc19-eBird7017,bbs0615",,"28,000,000","28,000,000","8,400,000","8,400,000",2010.5,PIFcalc19-bbs0615,,1,"28,220,589",Natureserve 3.0,,1,"21,773,049",Natureserve 3.0,,2,PIFTC-02; PIFSC-CVS 2022,"DD = 'benefit from human alteration of landscapes.'  expected future conditions are enhanced by humans.  Could be TB = 2, populations demonstrably secure and no known threats?",2,H,2,PIFTC-02; PIFSC-CVS 2022,DD = 'benefit from human alteration of landscapes.'  expected future conditions are enhanced by humans.,2,H,1,"BBS7021-AS,JS",,230.9,2.37,2.01,2.74,1,52.92,2.14,1.59,2.78,1,20,core,0.73,3678,2.54,9323.31,,6,6,6,,,yes,w,Widespread,Widespread,Open Country:  Habitat Mosaic,,Open Country:  Habitat Mosaic,
783,Lesser Yellow-headed Vulture,Cathartes burrovianus,landbird,Cathartiformes,Cathartidae,,0,0,1,1,R,,,3,Gomez-Panjabi,,,,,,,,,1,"7,836,656",Natureserve 3.0,,1,"7,836,656",Natureserve 3.0,,2,MX-NSAC,,,,2,MX-NSAC,no significant threats,,,2,PIF CAW 2014,,,,,,,,,,,,,,,,,,,8,8,8,,,,,Neotropical,Neotropical,Grasslands:  Tropical,Wetlands:  Freshwater Marsh,Grasslands:  Tropical,Wetlands:  Freshwater Marsh
784,Osprey,Pandion haliaetus,landbird,Accipitriformes,Pandionidae,,1,1,1,1,M,,,3,"PIFcalc19-rng,bbs0615,eBird7017,ona0105,nwt9501",,"1,200,000","1,200,000","400,000","400,000",2010.5,"PIFcalc19-bbs0615,ona0105,nwt9501",,1,"18,768,140",Natureserve 3.0,,1,"33,358,756",Natureserve 3.0,,2,PIFTC-02; PIFSC-CVS 2022,,2,H,2,PIFTC-02; PIFSC-CVS 2022,"widespread, tolerant of human disturbance (KR)",2,H,1,"BBS7021-AS,JS",,329.77,2.9,1.99,4.29,1,112.5,2.54,1.65,3.81,1,30,core,2.3,1251,0.14,177.47,,7,7,7,,,yes,,Widespread,Widespread,Wetlands:  Lakes and Rivers,Coasts:  Saltmarsh,Wetlands:  Generalist,Coasts:  Saltmarsh
785,Pearl Kite,Gampsonyx swainsonii,landbird,Accipitriformes,Accipitridae,,0,0,0,1,R,,,3,PIF CAW 2016,,,,,,,,,1,"10,255,186",NatureServe,,1,"10,255,186",NatureServe,,2,PIF CAW 2014,,,,2,PIF CAW 2014,,,,1,PIF CAW 2014,,,,,,,,,,,,,,,,,,,7,7,7,,,,,Neotropical,Neotropical,Open Country:  Habitat Mosaic,,Open Country:  Habitat Mosaic,
786,White-tailed Kite,Elanus leucurus,landbird,Accipitriformes,Accipitridae,,0,1,1,1,R,,,4,"PIFcalc19-eBird7017,bbs0615","They aren't that dense in occurrence, so new estimate may be correct even though large range, but likely higher density outside US (PIFSC-18).  Areas abiertas (CAW).","260,000","260,000","16,000","16,000",2010.5,PIFcalc19-bbs0615,,1,"9,406,487",Natureserve 3.0,,1,"9,406,487",Natureserve 3.0,,2,PIFTC-02; PIFSC-CVS 2022,"CB-significant threat from habitat degradation, loss of nest trees, and foraging habitats, urbanization, communal roost disturbance, grazing, (BNA); uses all kinds of agricultural lands (ranches, etc); populations enhanced by human activity (MX-NSAC); TB/N=2 more consistent with other species in these categories, given potential sensitivities to pesticides, etc.",2,M-H,2,PIFTC-02; PIFSC-CVS 2022,"CB-resident, needs Mexican input; uses all kinds of agricultural lands (ranches, etc); populations enhanced by human activity",2,M-H,5,"BBS7021-AS,JS",,-59.71,-1.77,-2.68,-0.59,1,-51.08,-5.36,-9.48,-2.42,1,13,core,2.1,132,0.12,15.94,13,12,12,12,Common Bird in Steep Decline,,,"b,w",Widespread,Widespread,Open Country:  Habitat Mosaic,,Open Country:  Habitat Mosaic,
787,Hook-billed Kite,Chondrohierax uncinatus,landbird,Accipitriformes,Accipitridae,,0,1,1,1,R,,,4,Gomez-Panjabi-PS-g midpoint; PIFSC-23,PIFSC-23: splitting off Cuban Kite likely has little influence on PS-g since relatively small population,"200,000","200,000",50,50,,PIFSC-16,guesstimate.  Shaw-22: splitting off Cuban Kite has no impact on US pop estimate,1,"9,787,516",BirdLife 2022,Shaw-23: splitting off Cuban Kite has immaterial effect on area.  Used World Cylindrical Equal Area projection to estimate area.,1,"9,787,516",BirdLife 2022,Shaw-23: splitting off Cuban Kite has immaterial effect on area.  Used World Cylindrical Equal Area projection to estimate area.,4,PIFTC-02; PIFSC-CVS 2022,"Mainly a forest bird.  global score of 2 seems too low, 3 more approapriate given widespread threats to lowland forests, most regions score 4; 3 in SECL which may represent core range in MX.",4,M-H,4,PIFTC-02; PIFSC-CVS 2022,"uses disturbed habitats, very widespread.  usually associated with forests and woodlands (Panjabi)",4,H,4,MX-NSAC 2008,"all 8 regions score PT=4, situacion likely similar across C.A.",,,,,,,,,,,,,,,,,,13,13,13,,,,,Neotropical,Neotropical,Forests:  Tropical Lowland Evergreen,,Forests:  Tropical Lowland Evergreen,
789,Gray-headed Kite,Leptodon cayanensis,landbird,Accipitriformes,Accipitridae,,0,0,1,1,R,,,4,PIF CAW 2016; PIFSC-23,PIFSC-23: splitting off White-collared Kite likely has little influence on PS-g since relatively small population,,,,,,,,1,"12,071,721",BirdLife 2022,Shaw-23: splitting off White-collared Kite has immaterial effect on area.  Used World Cylindrical Equal Area projection to estimate area.,1,"12,071,721",BirdLife 2022,Shaw-23: splitting off White-collared Kite has immaterial effect on area.  Used World Cylindrical Equal Area projection to estimate area.,3,MX-NSAC,,,,3,MX-NSAC,specialized habitat (riparian forest); habitat loss,,,5,PIF CAW 2014,,,,,,,,,,,,,,,,,,,13,13,13,Yellow Watch List; Tipping Point,,,,Neotropical,Neotropical,Forests:  Tropical Lowland Evergreen,,Forests:  Tropical Lowland Evergreen,
795,Black-and-white Hawk-Eagle,Spizaetus melanoleucus,landbird,Accipitriformes,Accipitridae,Monotypic.,0,0,1,1,R,,,5,Gomez-Panjabi,,,,,,,,,1,"8,103,632",Natureserve 3.0,,1,"8,103,632",Natureserve 3.0,,4,MX-NSAC,,,,4,MX-NSAC,requires primary forest,,,5,PIF CAW 2014,"all regions in mexico (which represent >50% of Central American range) indicate major decline, situation likely similar in rest of C.A.",,,,,,,,,,,,,,,,,,15,15,15,Orange Watch List; Tipping Point,,,,Neotropical,Neotropical,Forests:  Tropical Lowland Evergreen,,Forests:  Tropical Lowland Evergreen,
796,Ornate Hawk-Eagle,Spizaetus ornatus,landbird,Accipitriformes,Accipitridae,,0,0,1,1,R,,,4,PIF CAW 2016,score change from 5 to 4 recommended by Central Americans in 2016,,,,,,,,1,"9,467,792",Natureserve 3.0,,1,"9,467,792",Natureserve 3.0,,4,MX-NSAC,,,,4,MX-NSAC,requires primary forest,,,5,PIF CAW 2014,"depends on large tracts of humid tropical forest, sensitive to fragmentation; now rare in much of mapped range",,,,,,,,,,,,,,,,,,14,14,14,Yellow Watch List; Tipping Point,NT,,,Neotropical,Neotropical,Forests:  Tropical Lowland Evergreen,,Forests:  Tropical Lowland Evergreen,
797,Double-toothed Kite,Harpagus bidentatus,landbird,Accipitriformes,Accipitridae,,0,0,1,1,R,,,3,Gomez-Panjabi.  PIF CAW 2016,la poblacion en el norte es marginal. Revisar con expertos de sur america. (CAW);,,,,,,,,1,"8,990,579",Natureserve 3.0,,1,"8,990,579",Natureserve 3.0,,3,MX-NSAC,,,,3,MX-NSAC,uses primary forest,,,4,PIF CAW 2014,SECL and SEMH score as PT=4; habitat loss similar across central america,,,,,,,,,,,,,,,,,,11,11,11,,,,,Neotropical,Neotropical,Forests:  Tropical Lowland Evergreen,,Forests:  Tropical Lowland Evergreen,
798,Northern Harrier,Circus hudsonius,landbird,Accipitriformes,Accipitridae,,1,1,1,1,M,,,3,"PIFcalc19-bbs0615,ona0105,nwt9501,eBird7017","split from Old World's Circus cyaneus, so used US/Canada estimate for global estimate","820,000","820,000","820,000","820,000",2010.5,"PIFcalc19-bbs0615,ona0105,nwt9501",,1,"12,347,239",BirdLife 2017,,1,"9,102,362",BirdLife 2017,,3,PIFTC-02; PIFSC-CVS 2022,"Lots of undisturbed range in far north (GB), but much habitat loss in populated areas.",3,M-H,3,PIFTC-02; PIFSC-CVS 2022,"TN should be less than TB, as for Short-eared Owl (GB).  threats still probably moderate overall in winter; uses ag but less so in more intensified ag (KVR)",2,H,4,"BBS7021-AS,JS",,-38.06,-0.93,-1.46,-0.59,1,-20.45,-1.74,-3.4,-0.58,1,13,core,0.87,2110,0.33,704.79,,11,11,11,,,,"b,w",Nearctic,Nearctic,Grasslands:  Temperate,Wetlands:  Freshwater Marsh,Open Country:  Habitat Mosaic,Coasts:  Saltmarsh
803,Tiny Hawk,Accipiter superciliosus,landbird,Accipitriformes,Accipitridae,,0,0,0,1,R,,,4,PIF CAW 2016,,,,,,,,,1,"8,592,097",NatureServe,,1,"8,592,097",NatureServe,,3,PIF CAW 2014,,,,3,PIF CAW 2014,,,,4,PIF CAW 2014,,,,,,,,,,,,,,,,,,,12,12,12,,,,,Neotropical,Neotropical,Forests:  Tropical Lowland Evergreen,,Forests:  Tropical Lowland Evergreen,
804,Sharp-shinned Hawk,Accipiter striatus,landbird,Accipitriformes,Accipitridae,,1,1,1,1,M,,,3,"PIFcalc19-eBird7017,bbs0615","Especie residente, el rango es peque o, bosque de pino, especie local (calificaci n 5) (CAW);","1,000,000","1,000,000","410,000","410,000",2010.5,PIFcalc19-bbs0615,,1,"16,346,707",Natureserve 3.0,,1,"14,435,200",Natureserve 3.0,,3,PIFSC-08; PIFSC-CVS 2022,"Uses wide variety of forest types, including young.  Is it area sensitive?  (ED); same as U.S. (MX-NSAC).",3,M-H,2,PIFTC-02; PIFSC-CVS 2022,"Persecution, but not enough to make a 3",2,H,2,"BBS7021-AS,JS",,35.35,0.6,0.24,1.21,1,-14.48,-0.98,-3.07,0.46,,16,core,0.97,1479,0.02,30.53,,9,8,9,,,,,Northern Forest,Widespread,Forests:  Temperate Generalist,,Forests:  Temperate Generalist,
805,Cooper's Hawk,Accipiter cooperii,landbird,Accipitriformes,Accipitridae,Monotypic.,1,1,1,1,M,,,3,"PIFcalc19-bbs0615,eBird7017",Migrante en la regi n de CA (CAW);,"1,000,000","1,000,000","840,000","840,000",2010.5,PIFcalc19-bbs0615,,1,"8,365,612",Natureserve 3.0,,1,"8,151,344",Natureserve 3.0,,2,PIFTC-02; PIFSC-CVS 2022,Same habitat as in winter.,2,H,2,PIFTC-02; PIFSC-CVS 2022,Persecution.  winters extensively in urban and agricultural areas; persecution not a population threat (KVR); should be same as sharp-shinned (Panjabi),2,H,1,"BBS7021-AS,JS",,194.37,2.14,1.84,2.48,1,16.22,0.89,0.09,1.4,1,17,core,0.64,2336,0.04,88.67,,7,7,7,,,yes,,Nearctic,Widespread,Forests:  Temperate Generalist,,Open Country:  Habitat Mosaic,
807,Bicolored Hawk,Accipiter bicolor,landbird,Accipitriformes,Accipitridae,,0,0,1,1,R,,,3,PIF CAW 2016,"Marginal en CA, amplio en Sur Am rica (CAW); score change from 5 to 3 recommended by Central Americans in 2016",,,,,,,,1,"14,390,047",Natureserve 3.0,,1,"14,390,047",Natureserve 3.0,,4,MX-NSAC,,,,4,MX-NSAC,highly restricted to primary rainforest,,,5,PIF CAW 2014,regional experts in core range in mexico score as PT=5; habitat trends and species status similar throughout central america,,,,,,,,,,,,,,,,,,13,13,13,Yellow Watch List; Tipping Point,,,,Neotropical,Neotropical,Forests:  Tropical Lowland Evergreen,,Forests:  Tropical Lowland Evergreen,
808,Northern Goshawk,Accipiter gentilis,landbird,Accipitriformes,Accipitridae,,1,1,1,0,M,,,4,"PIFcalc19-rng,bbs0615,eBird7017,nwt9501",,"420,000","420,000","210,000","210,000",2010.5,"PIFcalc19-bbs0615,nwt9501",,1,"20,028,624",Natureserve 3.0,,1,"26,368,146",Natureserve 3.0,,3,PIFTC-02; PIFSC-CVS 2022,,3,M-L,3,PIFTC-02; PIFSC-CVS 2022,,2,M-H,2,"BBS7021-AS,JS",,1.79,0.03,-0.54,0.71,,-1.94,-0.09,-1.7,0.85,,22,core,1.24,501.5,0.01,6.64,,10,10,10,,,,,Northern Forest,Nearctic,Forests:  Boreal,Forests:  Temperate Western,Forests:  Temperate Generalist,
810,Bald Eagle,Haliaeetus leucocephalus,landbird,Accipitriformes,Accipitridae,,1,1,1,0,M,,,4,"USFWS Eagle Rule Revision, 2016, with extrapolation to Canada","extrapolated from US estimate (143,000) to Canada using BBS-based %pop of 28.8% in Canada vs. 71.2% in US (P.Blancher pers. comm., 6.7.16).  970,000 is estimate from BBS-15.","200,000","200,000","200,000","200,000",,"USFWS Eagle Rule Revision, 2016, with extrapolation to Canada","U.S. est=143,000",1,"8,635,225",Natureserve 3.0,,1,"6,488,748",Natureserve 3.0,,2,PIFSC-19; PIFSC-CVS 2022,changed due to calibration with TB-r; only 15 of 34 BCRs (<10% pop) scored TB>2,2,H,3,PIFTC-02; PIFSC-CVS 2022,Disease and coastal development remain threats,2,M-L,1,"BBS7021-AS,JS",,784.8,4.37,2.61,5.32,1,261.64,3.04,1.86,4.4,1,43,core,2.71,1375.5,0.14,188.46,,8,9,9,,,,,Nearctic,Nearctic,Wetlands:  Generalist,Coasts:  Beach and Estuary,Wetlands:  Generalist,Coasts:  Saltmarsh
829,White Hawk,Pseudastur albicollis,landbird,Accipitriformes,Accipitridae,,0,0,1,1,R,,,4,PIF CAW 2016,score change from 5 to 4 recommended by Central Americans in 2016,,,,,,,,1,"7,644,604",Natureserve 3.0,,1,"7,644,604",Natureserve 3.0,,4,MX-NSAC,,,,4,MX-NSAC,highly restricted to primary rainforest,,,5,PIF CAW 2014,Restricted to humid evergreen lowland forests within C.A. range; loss of such forests has been extensive in C.A.; MX regional experts score PT=5 in SECL,,,,,,,,,,,,,,,,,,14,14,14,Yellow Watch List; Tipping Point,,,,Neotropical,Neotropical,Forests:  Tropical Lowland Evergreen,,Forests:  Tropical Lowland Evergreen,
830,Semiplumbeous Hawk,Leucopternis semiplumbeus,landbird,Accipitriformes,Accipitridae,Monotypic.,0,0,0,1,R,,,5,PIF CAW 2016,,,,,,,,,4,"237,197",NatureServe,,4,"237,197",NatureServe,,4,PIF CAW 2014,,,,4,PIF CAW 2014,,,,4,PIF CAW 2014,,,,,,,,,,,,,,,,,,,17,17,17,Red Watch List; Tipping Point,,,,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests:  Tropical Lowland Evergreen,,Forests:  Tropical Lowland Evergreen,
831,Gray Hawk,Buteo plagiatus,landbird,Accipitriformes,Accipitridae,,0,1,1,1,M,,,3,PIFTC-02.  PIF CAW 2016-PS-g midpoint,Es com n y est  presente en  reas perturbadas (CAW),"2,000,000","2,000,000"," <2,000 ","2,000",,PIFSC-16,guesstimate; expanding rapidly in AZ (Beardmore),1,"11,298,528",Natureserve 3.0,,1,"11,171,002",Natureserve 3.0,,2,PIFSC-08; PIFSC-CVS 2022,"regional scores suggest tolerant of humna disturbance overall; uses modified habitat, expected future conditions will benefit this species; CB-clearing of mesquite bosques, riparian, human encroachment, n. Sonora clearing for ag (Glinski); Mexicans say 1, but uses forest.",1,H,3,PIFTC-02; PIFSC-CVS 2022,"Need to talk to Mexicans on this, because we think it should be higher; uses modified habitat, expected future conditions will benefit this species.  Should be consistent with other species that use human-altered landscapes; ""1"" should be reserved for species really expected to increase because of human activities (KVR); in much of its range, this species increases with forest clearing; still probably not likely to increase by another 50% in the future due to clearing, more likely to remain stable or increase slightly.  This change in score will require Mexican approval.  Most Central American countries scored TB/TN=2, except El Savador which scored it TB/TN=1 (Panjabi)",3,H,2,MX-NSAC 2008,proponemos un 2 debido a que las poblaciones no se han comportado de la misma forma frente a la deforestacion en diferentes lugares,,,,,,,,,,,,,,,,,,8,9,9,,,,,Mesoamerica,Mesoamerica,Forests:  Tropical Dry,Aridlands:  Desert Riparian,Forests:  Tropical Dry,Open Country:  Habitat Mosaic
832,Gray-lined Hawk,Buteo nitidus,landbird,Accipitriformes,Accipitridae,Formerly known as Gray Hawk.,0,0,0,1,R,,,3,PIF CAW 2016,no map available (CAW);,,,,,,,,1,"10,412,891",BirdLife 2021,,1,"10,412,891",BirdLife 2021,,3,PIF CAW 2014,m s sensible que B. plagiatus,,,3,PIF CAW 2014,,,,2,PIF CAW 2014,,,,,,,,,,,,,,,,,,,9,9,9,,,,,South American Lowlands,South American Lowlands,Open Country:  Habitat Mosaic,,Open Country:  Habitat Mosaic,
833,Red-shouldered Hawk,Buteo lineatus,landbird,Accipitriformes,Accipitridae,,1,1,1,0,M,,,3,"PIFcalc19-bbs0615,eBird7017",,"1,900,000","1,900,000","1,800,000","1,800,000",2010.5,PIFcalc19-bbs0615,,2,"3,480,787",Natureserve 3.0,,2,"3,225,870",Natureserve 3.0,,2,PIFTC-02; PIFSC-CVS 2022,"DD='species relatively tolerant of human activities or land-use trends'= TB 2 or 'threats potentially increasing if present trends conditions continue' = TB 3.  BNA supports that contiguous forest tracts more favorable for breeding, yet fragmentation rema",2,H,2,PIFTC-02; PIFSC-CVS 2022,DD=' species relatively tolerant of human activities or land-use trends'.  BNA supports it is more flexible in habitat use during nonbreeding season.,2,M-H,1,"BBS7021-AS,JS",,321.43,2.86,2.67,3.13,1,48.88,2.37,1.78,3.13,1,17,core,0.46,1777.5,0.48,860.88,,8,8,8,,,yes,,Nearctic,Nearctic,Forests:  Temperate Eastern,Forests:  Temperate Western,Forests:  Temperate Eastern,Forests:  Temperate Western
850,Bare-shanked Screech-Owl,Megascops clarkii,landbird,Strigiformes,Strigidae,Monotypic.,0,0,0,1,R,,,5,PIF CAW 2016,,,,,,,,,5,"9,957",NatureServe,,5,"9,957",NatureServe,,3,PIF CAW 2014,m s pl stica que otras especies de bosques de altura,,,3,PIF CAW 2014,,,,3,PIF CAW 2014,,,,,,,,,,,,,,,,,,,16,16,16,Yellow Watch List,,,,Central and South American Highlands,Central and South American Highlands,Forests:  Tropical Montane Evergreen,,Forests:  Tropical Montane Evergreen,
851,Tropical Screech-Owl,Megascops choliba,landbird,Strigiformes,Strigidae,,0,0,0,1,R,,,3,PIF CAW 2016,,,,,,,,,1,"13,100,722",NatureServe,,1,"13,100,722",NatureServe,,3,PIF CAW 2014,suseptible a ser atropellada por trafico,,,3,PIF CAW 2014,,,,3,PIF CAW 2014,utilice bosques urbanos,,,,,,,,,,,,,,,,,,10,10,10,,,yes,,Neotropical,Neotropical,Forests:  Tropical Lowland Evergreen,,Forests:  Tropical Lowland Evergreen,
852,Bearded Screech-Owl,Megascops barbarus,landbird,Strigiformes,Strigidae,Monotypic.,0,0,1,1,R,,,5,Gomez-Panjabi,,,,,,,,,5,"44,614",Natureserve 3.0,,5,"44,614",Natureserve 3.0,,5,MX-NSAC,global score should reflect regional experts' opinion.,,,5,MX-NSAC,dependent on mature pine-oak forest; habitat loss due to clearing; global score should reflect regional experts' opinion,,,5,PIF CAW 2014,,,,,,,,,,,,,,,,,,,20,20,20,Red Watch List; Tipping Point,,,,Mesoamerican Highlands,Mesoamerican Highlands,Forests:  Tropical Montane Evergreen,,Forests:  Tropical Montane Evergreen,
853,Pacific Screech-Owl,Megascops cooperi,landbird,Strigiformes,Strigidae,,0,0,1,1,R,,,4,PIF CAW 2016,score change from 5 to 4 recommended by Central Americans in 2016,,,,,,,,5,"78,613",Natureserve 3.0,,5,"78,613",Natureserve 3.0,,3,MX-NSAC,,,,3,MX-NSAC,moderate habitat loss expected,,,4,PIF CAW 2014,"loss of pacific lowland forests in Central america, some tolerance to disturbance",,,,,,,,,,,,,,,,,,16,16,16,Yellow Watch List,,,,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests:  Tropical Dry,,Forests:  Tropical Dry,
854,Western Screech-Owl,Megascops kennicottii,landbird,Strigiformes,Strigidae,,1,1,1,0,R,,,4,"PIFcalc19-bbs0615,eBird7017",,180000,"180,000",140000,"140,000",2010.5,PIFcalc19-bbs0615,,2,"3,579,650",Natureserve 3.0,,2,"3,579,650",Natureserve 3.0,,3,PIFTC-02; PIFSC-CVS 2022,"CB-variety of habitats, seem to be doing fine, extirpated on Nav. Res (Glinski), Habitats not doing well (ABQ).",2,H,3,PIFTC-02; PIFSC-CVS 2022,"CB-similar to TB.  Pinon die off, threats to western riparian systems (Panjabi); WE-Threatened/Endangered in Canada. While found in different forest types, all low elevation and often near water. Primary threat is habitat loss and similar in breeding and non-breeding.",2,H,3,"BBS7021-AS,JS",,-19.75,-0.43,-2.63,0.69,,-5.75,-0.54,-4.33,1.76,,11,core,3.32,101.5,0.01,1.12,,12,12,12,,,yes,,Western Temperate,Western Temperate,Forests:  Temperate Western,Aridlands:  Desert Riparian,Forests:  Temperate Western,Aridlands:  Desert Riparian
886,Boreal Owl,Aegolius funereus,landbird,Strigiformes,Strigidae,,1,1,0,0,M,,,3,BirdLife International 2018,US/Canada estimate based on Bird Studies Canada s provincial owl surveys through 2002 for density estimates.  Previous estimate for US/Canada was erroneous (Blancher 2018).,"1,540,000","1,540,000","500,000","500,000",,Blancher 2008,,1,"23,137,560",Natureserve 3.0,,1,"23,137,560",Natureserve 3.0,,4,PIFSC-15; PIFSC-CVS 2022,"Prefers old growth, & sensitive to loss of cavity trees.  Panjabi: threats from increasing logging in boreal forest may warrant TB=4.  Highly specialized needs for nesting and increasing threats from forestry suggests species likely to decline across major parts of range.",4,M-H,3,PIFTC-02; PIFSC-CVS 2022,"Are there really no threats to winter habitats? Uses mature forests in western U.S. Seems like should be at least a ""3"" like other forest owls and other species (KVR); In the Rockies, specializes in mature spruce-fir habitat with wetlands; threats at least moderate due to effects of climate change (e.g., increased pine beetles, spruce beetles, fires, drought)  (Panjabi)",3,M-H,3,PIFSC-08,,,,,,,,,,,,,,,,,,,11,10,11,,,,,Northern Forest,Northern Forest,Forests:  Boreal,,Forests:  Boreal,
887,Northern Saw-whet Owl,Aegolius acadicus,landbird,Strigiformes,Strigidae,,1,1,1,0,M,,,3,Blancher 2008,based on Bird Studies Canada s provincial owl surveys through 2002 for density estimates,"2,000,000","2,000,000","2,000,000","2,000,000",,Blancher 2008,,1,"5,695,944",Natureserve 3.0,,1,"10,792,933",Natureserve 3.0,okay,3,PIFSC-15; PIFSC-CVS 2022,"Any newer threats from boreal forestry or energy extraction, or climate change effects on boreal forests farther south? (KVR); Camfield,Alaine [NCR]:  BC subspecies listed as endangered under SARA. TB 3 in Canadian BCR strategies,  Logging is the primary threat.",3,H,2,PIFTC-02; PIFSC-CVS 2022,,2,M-H,1,CBC7019-TM,,219.67,2.4,2,2.7,1,29.26,2.6,1.7,3.4,1,10,,0.7,,,,,8,7,8,,,,,Northern Forest,Nearctic,Forests:  Boreal,Forests:  Temperate Western,Forests:  Temperate Generalist,
888,Unspotted Saw-whet Owl,Aegolius ridgwayi,landbird,Strigiformes,Strigidae,,0,0,1,1,R,,,5,Gomez-Panjabi,NatureServe map error?? Distrubtion seems way too small,,,,,,,,5,"62,161",Natureserve 3.0 with adjustment by PIFSC-08,"Natureserve map error; MX-Guatemala range excluded; added 60,000 km2 (over 50% size of Guatemala (109,000 km2))",5,"62,161",Natureserve 3.0,"map error; MX-Guatemala range excluded; add 60,000km2 (over 50% size of Guatemala (109,000km2))Ken comment: map error; MX-Guatemala range excluded; add 60,000km2 (over 50% size of Guatemala (109,000km2))",5,MX-NSAC,global score should reflect regional experts' opinion.,,,5,MX-NSAC,dependent on mature pine-oak forest; habitat loss due to clearing,,,5,PIF CAW 2014,,,,,,,,,,,,,,,,,,,20,20,20,Red Watch List; Tipping Point,,,,Mesoamerican Highlands,Mesoamerican Highlands,Forests:  Mesoamerican Highland,Forests:  Mesoamerican Pine-Oak,Forests:  Mesoamerican Highland,Forests:  Mesoamerican Pine-Oak
892,Lattice-tailed Trogon,Trogon clathratus,landbird,Trogoniformes,Trogonidae,Monotypic.,0,0,0,1,R,,,5,PIF CAW 2016,,,,,,,,,5,"16,328",NatureServe,,5,"16,328",NatureServe,,4,PIF CAW 2014,ganader a; miner a; la mayor a de su h bitat en Costa Rica est  protegido,,,4,PIF CAW 2014,,,,5,PIF CAW 2014,,,,,,,,,,,,,,,,,,,19,19,19,Red Watch List; Tipping Point,,,,Central and South American Highlands,Central and South American Highlands,Forests:  Tropical Lowland Evergreen,,Forests:  Tropical Lowland Evergreen,
